,start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,artist_name,track_name
0,0.0,8.58997,1.0,-17.138,106.9,0.495,11,0.061,1,0.385,4,1.0,(G)I-DLE,HANN (Alone)
1,8.58997,20.60653,0.821,-5.282,104.957,0.76,6,0.613,1,0.589,4,1.0,(G)I-DLE,HANN (Alone)
2,29.1965,58.85191,0.061,-2.863,104.942,0.467,6,0.276,0,0.344,4,1.0,(G)I-DLE,HANN (Alone)
3,88.04841,16.00403,0.487,-5.307,105.097,0.853,6,0.146,1,0.566,4,1.0,(G)I-DLE,HANN (Alone)
4,104.05245,101.76773,0.299,-2.717,104.986,0.513,6,0.408,0,0.451,4,0.958,(G)I-DLE,HANN (Alone)
5,0.0,12.17906,1.0,-15.285,87.976,0.227,2,0.0,1,0.0,4,1.0,(G)I-DLE,HWAA
6,12.17906,20.16309,0.84,-5.864,95.784,0.448,6,0.768,0,0.628,4,1.0,(G)I-DLE,HWAA
7,32.34216,20.04054,0.478,-3.12,96.035,0.495,6,0.531,0,0.656,4,1.0,(G)I-DLE,HWAA
8,52.3827,9.3404,0.598,-7.028,96.3,0.441,11,0.0,0,0.0,4,1.0,(G)I-DLE,HWAA
9,61.7231,29.59513,0.398,-1.385,95.809,0.349,2,0.0,1,0.0,4,1.0,(G)I-DLE,HWAA
10,91.31823,24.81267,0.415,-5.175,89.034,0.446,6,0.562,0,0.479,4,0.15,(G)I-DLE,HWAA
11,116.13091,13.71462,0.039,-5.049,91.964,0.357,6,0.625,0,0.731,4,0.688,(G)I-DLE,HWAA
12,129.84552,27.49893,0.501,-1.356,95.884,0.38,2,0.482,1,0.377,4,1.0,(G)I-DLE,HWAA
13,157.34445,17.64471,0.274,-2.924,96.076,0.556,2,0.139,1,0.439,4,1.0,(G)I-DLE,HWAA
14,174.98917,7.81835,0.447,-2.851,93.494,0.219,2,0.0,1,0.0,4,1.0,(G)I-DLE,HWAA
15,182.80751,14.51249,0.707,-3.605,95.983,0.341,6,0.0,0,0.247,4,1.0,(G)I-DLE,HWAA
16,0.0,24.61721,1.0,-8.763,98.197,0.701,2,0.431,1,0.477,4,1.0,(G)I-DLE,LATATA
17,24.61721,17.19188,0.247,-4.597,98.086,0.605,5,0.057,1,0.0,4,1.0,(G)I-DLE,LATATA
18,41.80909,10.86522,0.298,-2.322,100.541,0.395,7,0.358,1,0.41,4,1.0,(G)I-DLE,LATATA
19,52.67431,28.31312,0.074,-2.468,97.965,0.499,0,0.101,1,0.289,4,1.0,(G)I-DLE,LATATA
20,80.98743,9.80462,0.204,-4.518,98.114,0.764,4,0.001,1,0.112,4,1.0,(G)I-DLE,LATATA
21,90.79205,11.61036,0.266,-4.548,98.207,0.834,7,0.311,1,0.497,4,1.0,(G)I-DLE,LATATA
22,102.40241,15.32838,0.083,-5.455,99.288,0.521,1,0.0,0,0.0,4,1.0,(G)I-DLE,LATATA
23,117.73078,43.48813,0.163,-2.609,97.934,0.444,0,0.0,1,0.192,4,1.0,(G)I-DLE,LATATA
24,161.2189,19.55709,0.795,-7.7,98.178,0.57,9,0.777,0,0.654,4,1.0,(G)I-DLE,LATATA
25,180.776,21.99688,0.755,-3.786,98.04,0.592,9,0.453,0,0.448,4,1.0,(G)I-DLE,LATATA
26,0.0,18.37903,1.0,-9.202,112.101,0.32,7,0.034,1,0.383,4,1.0,(G)I-DLE,Oh my god
27,18.37903,32.16944,0.639,-3.051,110.075,0.67,4,0.351,0,0.392,4,1.0,(G)I-DLE,Oh my god
28,50.54847,19.09165,0.432,-3.235,110.051,0.495,4,0.287,1,0.297,4,1.0,(G)I-DLE,Oh my god
29,69.64013,19.09172,0.276,-3.796,110.067,0.808,0,0.037,1,0.486,4,1.0,(G)I-DLE,Oh my god
30,88.73185,31.62995,0.136,-3.095,109.949,0.705,0,0.73,1,0.597,4,1.0,(G)I-DLE,Oh my god
31,120.3618,19.08988,0.284,-3.176,109.989,0.506,9,0.08,1,0.278,4,1.0,(G)I-DLE,Oh my god
32,139.45168,20.73374,0.411,-3.783,109.988,0.748,4,0.379,0,0.439,4,1.0,(G)I-DLE,Oh my god
33,160.18542,17.99881,0.689,-1.974,109.979,0.494,9,0.003,1,0.146,4,1.0,(G)I-DLE,Oh my god
34,178.18423,17.68243,0.992,-9.206,110.39,0.261,7,0.107,1,0.368,4,0.8,(G)I-DLE,Oh my god
35,0.0,18.38791,1.0,-10.091,111.119,0.361,0,0.0,1,0.0,4,1.0,(G)I-DLE,Oh my god - English Version
36,18.38791,32.16388,0.432,-2.858,109.943,0.667,4,0.243,0,0.349,4,1.0,(G)I-DLE,Oh my god - English Version
37,50.5518,35.9961,0.435,-3.484,110.016,0.651,11,0.787,0,0.737,4,1.0,(G)I-DLE,Oh my god - English Version
38,86.5479,16.41028,0.068,-3.564,109.964,0.862,11,0.409,0,0.411,4,1.0,(G)I-DLE,Oh my god - English Version
39,102.95818,17.41098,0.266,-2.646,110.065,0.555,11,0.779,0,0.686,4,1.0,(G)I-DLE,Oh my god - English Version
40,120.36916,19.08307,0.597,-3.177,110.025,0.525,1,0.161,0,0.558,4,1.0,(G)I-DLE,Oh my god - English Version
41,139.45222,20.73218,0.392,-3.638,110.022,0.756,4,0.096,0,0.265,4,1.0,(G)I-DLE,Oh my god - English Version
42,160.1844,17.97972,0.838,-2.129,109.989,0.493,11,0.008,0,0.323,4,1.0,(G)I-DLE,Oh my god - English Version
43,178.16412,17.71588,0.92,-10.077,109.341,0.285,4,0.435,0,0.507,4,1.0,(G)I-DLE,Oh my god - English Version
44,0.0,4.57824,1.0,-17.588,0.0,0.0,0,0.0,1,0.0,4,1.0,(G)I-DLE,Uh-Oh
45,4.57824,31.31614,0.954,-3.721,92.075,0.827,4,0.283,0,0.257,4,1.0,(G)I-DLE,Uh-Oh
46,35.89438,24.1237,0.148,-3.092,92.154,0.661,2,0.083,1,0.684,4,1.0,(G)I-DLE,Uh-Oh
47,60.01809,29.99751,0.315,-2.575,92.108,0.607,1,0.683,0,0.675,4,1.0,(G)I-DLE,Uh-Oh
48,90.0156,9.77888,0.379,-3.468,92.14,0.797,0,0.694,1,0.546,4,1.0,(G)I-DLE,Uh-Oh
49,99.79448,43.05584,0.573,-3.283,92.001,0.73,4,0.373,0,0.386,4,1.0,(G)I-DLE,Uh-Oh
50,142.85033,30.6492,0.048,-2.663,91.88,0.495,1,0.0,0,0.0,4,1.0,(G)I-DLE,Uh-Oh
51,173.49953,34.10048,0.709,-2.952,92.056,0.734,1,0.45,0,0.486,4,1.0,(G)I-DLE,Uh-Oh
52,0.0,17.67412,1.0,-2.362,171.143,0.207,9,0.451,0,0.443,4,1.0,+44,When Your Heart Stops Beating
53,17.67412,28.05336,0.306,-2.347,170.933,0.337,7,0.557,1,0.643,4,1.0,+44,When Your Heart Stops Beating
54,45.72748,40.68671,0.317,-2.078,170.926,0.23,9,0.0,0,0.114,4,1.0,+44,When Your Heart Stops Beating
55,86.41419,28.05365,0.592,-2.016,170.855,0.217,0,0.283,1,0.42,4,1.0,+44,When Your Heart Stops Beating
56,114.46784,13.31794,1.0,-4.16,171.108,0.552,9,0.0,0,0.0,4,1.0,+44,When Your Heart Stops Beating
57,127.78579,19.31161,0.635,-3.088,170.841,0.232,9,0.537,0,0.47,4,1.0,+44,When Your Heart Stops Beating
58,147.0974,32.60456,0.876,-1.574,171.479,0.195,0,0.0,1,0.0,4,1.0,+44,When Your Heart Stops Beating
59,179.70197,13.08471,1.0,-26.299,171.154,0.024,9,0.0,0,0.0,4,1.0,+44,When Your Heart Stops Beating
60,0.0,13.23481,1.0,-13.609,145.29,0.519,5,0.486,1,0.479,4,1.0,21 Savage,a lot
61,13.23481,39.4432,1.0,-6.711,145.989,0.748,1,0.037,1,0.352,4,1.0,21 Savage,a lot
62,52.67801,13.16039,0.018,-7.132,145.848,0.765,10,0.009,1,0.336,4,1.0,21 Savage,a lot
63,65.8384,13.5535,0.812,-8.39,146.224,0.759,1,0.0,1,0.0,4,1.0,21 Savage,a lot
64,79.39189,15.19539,0.112,-6.319,146.266,0.737,0,0.621,1,0.503,4,1.0,21 Savage,a lot
65,94.58728,37.00485,0.051,-6.614,145.923,0.761,10,0.018,0,0.36,4,1.0,21 Savage,a lot
66,131.59213,27.11497,0.544,-7.438,146.125,0.648,10,0.0,0,0.274,4,1.0,21 Savage,a lot
67,158.7071,91.24044,0.775,-7.355,145.975,0.695,1,0.144,1,0.394,4,1.0,21 Savage,a lot
68,249.94754,30.41227,0.621,-8.996,146.009,0.782,10,0.023,1,0.418,4,0.767,21 Savage,a lot
69,280.3598,8.26436,1.0,-31.494,145.852,0.662,10,0.0,0,0.0,1,0.944,21 Savage,a lot
70,0.0,11.22244,1.0,-19.272,150.141,0.624,0,0.407,0,0.627,4,1.0,2NE1,COME BACK HOME
71,11.22244,69.21907,1.0,-2.855,149.771,0.418,0,0.483,0,0.559,4,1.0,2NE1,COME BACK HOME
72,80.44151,12.80626,0.674,-4.874,150.003,0.472,1,0.13,1,0.503,4,0.933,2NE1,COME BACK HOME
73,93.24777,16.01028,0.311,-2.688,150.217,0.434,10,0.028,1,0.346,4,1.0,2NE1,COME BACK HOME
74,109.25804,63.78298,0.473,-2.829,150.036,0.397,0,0.614,0,0.61,4,0.987,2NE1,COME BACK HOME
75,173.04103,13.20246,0.998,-5.145,150.257,0.38,1,0.0,1,0.0,4,1.0,2NE1,COME BACK HOME
76,186.24348,11.22961,0.175,-2.71,149.263,0.379,10,0.0,0,0.0,4,1.0,2NE1,COME BACK HOME
77,197.47308,32.1543,0.861,-2.768,150.694,0.308,8,0.534,1,0.49,4,1.0,2NE1,COME BACK HOME
78,0.0,11.0986,1.0,-5.862,129.756,0.812,0,0.138,1,0.471,4,1.0,2NE1,Can't Nobody - English Version
79,11.0986,32.78671,0.786,-2.643,129.968,0.754,7,0.718,1,0.57,4,1.0,2NE1,Can't Nobody - English Version
80,43.8853,15.23063,0.133,-3.291,129.951,0.598,4,0.541,0,0.34,4,1.0,2NE1,Can't Nobody - English Version
81,59.11593,51.22589,0.695,-2.608,130.096,0.656,7,0.182,1,0.4,4,1.0,2NE1,Can't Nobody - English Version
82,110.34182,15.69594,0.597,-3.155,129.896,0.626,4,0.133,0,0.382,4,1.0,2NE1,Can't Nobody - English Version
83,126.03777,42.67233,0.839,-2.009,130.028,0.48,9,0.627,0,0.612,4,1.0,2NE1,Can't Nobody - English Version
84,168.71008,39.34324,1.0,-1.616,129.989,0.483,9,0.247,0,0.629,4,1.0,2NE1,Can't Nobody - English Version
85,0.0,15.3081,1.0,-7.656,127.976,0.804,1,0.0,1,0.0,4,1.0,2NE1,Go Away
86,15.3081,28.1347,1.0,-3.735,127.931,0.579,6,0.307,1,0.376,4,1.0,2NE1,Go Away
87,43.4428,20.61844,0.634,-1.134,127.905,0.466,8,0.588,0,0.38,4,1.0,2NE1,Go Away
88,64.06124,32.81483,0.251,-1.615,127.981,0.495,11,0.376,1,0.578,4,1.0,2NE1,Go Away
89,96.87607,25.7582,0.6,-2.563,128.236,0.674,1,0.029,0,0.197,4,1.0,2NE1,Go Away
90,122.63427,7.98819,0.426,-1.855,127.781,0.473,1,0.0,1,0.0,4,1.0,2NE1,Go Away
91,130.62247,39.36836,0.287,-0.929,127.93,0.477,11,0.837,1,0.696,4,1.0,2NE1,Go Away
92,169.99081,11.71704,0.518,-3.934,128.057,0.519,1,0.642,0,0.546,4,1.0,2NE1,Go Away
93,181.70786,37.74548,0.288,-0.886,128.013,0.438,11,0.8,1,0.679,4,1.0,2NE1,Go Away
94,0.0,8.07044,1.0,-17.042,127.021,0.613,9,0.0,0,0.0,3,0.857,2NE1,I LOVE YOU
95,8.07044,29.78032,0.956,-10.297,124.922,0.578,7,0.422,0,0.546,4,0.459,2NE1,I LOVE YOU
96,37.85076,26.38274,0.583,-5.181,124.778,0.531,7,0.261,0,0.221,4,1.0,2NE1,I LOVE YOU
97,64.2335,21.11205,0.638,-4.832,125.197,0.581,3,0.399,1,0.44,4,1.0,2NE1,I LOVE YOU
98,85.34556,24.95813,0.047,-3.451,125.0,0.494,0,0.532,0,0.557,4,1.0,2NE1,I LOVE YOU
99,110.30369,8.17394,0.034,-3.778,124.574,0.492,0,0.0,0,0.0,4,1.0,2NE1,I LOVE YOU
100,118.47762,48.96303,0.064,-3.251,125.104,0.468,0,0.258,0,0.503,4,1.0,2NE1,I LOVE YOU
101,167.44064,23.50436,0.753,-6.463,125.063,0.738,7,0.044,0,0.294,4,1.0,2NE1,I LOVE YOU
102,190.945,15.83817,0.409,-6.151,124.828,0.551,7,0.479,0,0.494,4,1.0,2NE1,I LOVE YOU
103,206.78317,30.24348,0.857,-3.184,124.957,0.417,8,0.574,1,0.449,4,1.0,2NE1,I LOVE YOU
104,0.0,12.07416,1.0,-6.717,127.605,0.453,8,0.444,1,0.586,4,1.0,2NE1,Ugly
105,12.07416,21.06558,0.619,-4.262,127.762,0.426,8,0.789,1,0.676,4,1.0,2NE1,Ugly
106,33.13975,43.12546,0.537,-3.912,127.93,0.451,8,0.324,1,0.355,4,1.0,2NE1,Ugly
107,76.26521,30.4472,0.537,-1.12,128.187,0.399,3,0.03,0,0.357,4,0.839,2NE1,Ugly
108,106.7124,44.54953,0.541,-3.434,128.006,0.425,8,0.794,1,0.617,4,1.0,2NE1,Ugly
109,151.26193,30.92103,0.485,-1.241,128.193,0.397,5,0.218,0,0.382,4,1.0,2NE1,Ugly
110,182.18295,66.52801,0.905,-2.823,127.954,0.409,8,0.493,1,0.559,4,0.985,2NE1,Ugly
111,0.0,8.01848,1.0,-24.757,135.144,0.361,7,0.091,1,0.374,4,1.0,2PM,Without U-Japanese ver.-
112,8.01848,11.94025,0.803,-18.894,131.939,0.539,8,0.103,1,0.625,4,0.96,2PM,Without U-Japanese ver.-
113,19.95872,15.5246,1.0,-7.246,132.301,0.684,3,0.102,0,0.332,4,1.0,2PM,Without U-Japanese ver.-
114,35.48332,15.91724,0.163,-6.446,132.477,0.576,10,0.606,0,0.697,4,1.0,2PM,Without U-Japanese ver.-
115,51.40056,28.62697,0.582,-4.094,131.915,0.553,10,0.382,0,0.554,4,1.0,2PM,Without U-Japanese ver.-
116,80.02754,15.44759,0.445,-5.373,131.916,0.801,8,0.476,1,0.435,4,1.0,2PM,Without U-Japanese ver.-
117,95.47513,21.36895,0.182,-4.76,131.839,0.62,10,0.432,0,0.484,4,1.0,2PM,Without U-Japanese ver.-
