,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,error
0,0.709,0.718,6.0,-3.315,0.0,0.0312,0.059,0.0,0.167,0.24,104.971,audio_features,7gr57cYekMWriyJYbT7oZ4,spotify:track:7gr57cYekMWriyJYbT7oZ4,https://api.spotify.com/v1/tracks/7gr57cYekMWriyJYbT7oZ4,https://api.spotify.com/v1/audio-analysis/7gr57cYekMWriyJYbT7oZ4,205820.0,4.0,(G)I-DLE,HANN (Alone),
1,0.384,0.868,6.0,-3.226,0.0,0.0711,0.0458,5.82e-06,0.0797,0.233,95.027,audio_features,5FiXhM80sP4yg6tEnHkZZn,spotify:track:5FiXhM80sP4yg6tEnHkZZn,https://api.spotify.com/v1/tracks/5FiXhM80sP4yg6tEnHkZZn,https://api.spotify.com/v1/audio-analysis/5FiXhM80sP4yg6tEnHkZZn,197320.0,4.0,(G)I-DLE,HWAA,
2,0.774,0.792,9.0,-4.019,0.0,0.224,0.00427,1.15e-06,0.283,0.505,98.1,audio_features,2ezKXygNO30pXyDQXkm6oD,spotify:track:2ezKXygNO30pXyDQXkm6oD,https://api.spotify.com/v1/tracks/2ezKXygNO30pXyDQXkm6oD,https://api.spotify.com/v1/audio-analysis/2ezKXygNO30pXyDQXkm6oD,202773.0,4.0,(G)I-DLE,LATATA,
3,0.794,0.762,4.0,-3.525,0.0,0.0392,0.0358,1.41e-06,0.191,0.482,109.97,audio_features,2DmRXiyn03tOqKgEJXlaiJ,spotify:track:2DmRXiyn03tOqKgEJXlaiJ,https://api.spotify.com/v1/tracks/2DmRXiyn03tOqKgEJXlaiJ,https://api.spotify.com/v1/audio-analysis/2DmRXiyn03tOqKgEJXlaiJ,195867.0,4.0,(G)I-DLE,Oh my god,
4,0.794,0.756,4.0,-3.528,0.0,0.0402,0.0361,0.000351,0.253,0.518,109.971,audio_features,2EJbMzocEZ6VHnZKQ8pt8H,spotify:track:2EJbMzocEZ6VHnZKQ8pt8H,https://api.spotify.com/v1/tracks/2EJbMzocEZ6VHnZKQ8pt8H,https://api.spotify.com/v1/audio-analysis/2EJbMzocEZ6VHnZKQ8pt8H,195880.0,4.0,(G)I-DLE,Oh my god - English Version,
5,0.781,0.814,11.0,-3.315,0.0,0.0648,0.0586,0.0,0.118,0.782,92.037,audio_features,1OBb2wZMXKNmtdyyejLIyL,spotify:track:1OBb2wZMXKNmtdyyejLIyL,https://api.spotify.com/v1/tracks/1OBb2wZMXKNmtdyyejLIyL,https://api.spotify.com/v1/audio-analysis/1OBb2wZMXKNmtdyyejLIyL,207600.0,4.0,(G)I-DLE,Uh-Oh,
6,0.416,0.967,9.0,-2.289,0.0,0.109,0.000367,0.0,0.0632,0.431,171.032,audio_features,1VpTwecl7EbQiGyVsvwFQE,spotify:track:1VpTwecl7EbQiGyVsvwFQE,https://api.spotify.com/v1/tracks/1VpTwecl7EbQiGyVsvwFQE,https://api.spotify.com/v1/audio-analysis/1VpTwecl7EbQiGyVsvwFQE,192787.0,4.0,+44,When Your Heart Stops Beating,
7,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,audio_features,2t8yVaLvJ0RenpXUIAC52d,spotify:track:2t8yVaLvJ0RenpXUIAC52d,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,288624.0,4.0,21 Savage,a lot,
8,0.572,0.84,0.0,-3.349,0.0,0.126,0.155,0.0,0.638,0.146,149.864,audio_features,63J1RStsmoVKXNTCHRNxii,spotify:track:63J1RStsmoVKXNTCHRNxii,https://api.spotify.com/v1/tracks/63J1RStsmoVKXNTCHRNxii,https://api.spotify.com/v1/audio-analysis/63J1RStsmoVKXNTCHRNxii,229627.0,4.0,2NE1,COME BACK HOME,
9,0.783,0.778,9.0,-2.545,0.0,0.0446,0.0459,0.0,0.0668,0.686,129.965,audio_features,39jcHJpE1lT1iYGxaCofEM,spotify:track:39jcHJpE1lT1iYGxaCofEM,https://api.spotify.com/v1/tracks/39jcHJpE1lT1iYGxaCofEM,https://api.spotify.com/v1/audio-analysis/39jcHJpE1lT1iYGxaCofEM,208053.0,4.0,2NE1,Can't Nobody - English Version,
10,0.73,0.797,11.0,-2.135,1.0,0.0394,0.0536,0.0,0.0443,0.575,127.985,audio_features,4ebNVkfNL5kHuxr3o5K93R,spotify:track:4ebNVkfNL5kHuxr3o5K93R,https://api.spotify.com/v1/tracks/4ebNVkfNL5kHuxr3o5K93R,https://api.spotify.com/v1/audio-analysis/4ebNVkfNL5kHuxr3o5K93R,219453.0,4.0,2NE1,Go Away,
11,0.728,0.82,0.0,-4.578,0.0,0.0342,0.0308,1.23e-06,0.195,0.504,125.013,audio_features,6aifnm5IFMzpVH8tyS3M9c,spotify:track:6aifnm5IFMzpVH8tyS3M9c,https://api.spotify.com/v1/tracks/6aifnm5IFMzpVH8tyS3M9c,https://api.spotify.com/v1/audio-analysis/6aifnm5IFMzpVH8tyS3M9c,237027.0,4.0,2NE1,I LOVE YOU,
12,0.652,0.852,8.0,-2.746,1.0,0.078,0.196,0.0,0.218,0.519,127.959,audio_features,5FahFQNnmxqiWzJbDNmeIY,spotify:track:5FahFQNnmxqiWzJbDNmeIY,https://api.spotify.com/v1/tracks/5FahFQNnmxqiWzJbDNmeIY,https://api.spotify.com/v1/audio-analysis/5FahFQNnmxqiWzJbDNmeIY,248711.0,4.0,2NE1,Ugly,
